event_id,asset,category,catalyst,evidence_quality,volatility,downside_risk,timing_window,market_signal,source_count,notes
MKT-001,Regional Grocery Basket,Consumer,Inventory normalization and improving conversion trend,5,2,2,4,confirmed multi-source trend,5,Comparable traffic and vendor checks both improved.
MKT-002,Energy Input Basket,Commodity,Supply disruption with seasonal demand pull-forward,3,5,5,3,headline-driven volatility,3,Strong move but risk is dominated by supply headlines.
MKT-003,Software Infrastructure Index,Technology,Earnings revisions tied to AI infrastructure spend,4,4,3,4,confirmed demand signal,4,Revision breadth is improving but valuation risk remains.
MKT-004,Regional Bank Basket,Financials,Deposit stabilization and rate-cut expectations,3,4,4,3,early divergence,3,Potential rebound candidate with credit risk still unresolved.
MKT-005,Packaging Suppliers,Industrials,Order book recovery from consumer staples customers,4,2,2,3,confirmed multi-source trend,4,Channel checks suggest volume trough may have passed.
MKT-006,Cloud Cost Optimization Vendors,Technology,Budget scrutiny pushing infrastructure efficiency projects,4,3,2,5,confirmed demand signal,5,CFO commentary supports durable cost-control demand.
MKT-007,Specialty Apparel Basket,Consumer,Markdown pressure easing after inventory reset,3,3,3,3,early divergence,2,Better gross margin setup but evidence base is thin.
MKT-008,Small Cap Biotech Basket,Healthcare,Trial readout calendar attracting speculative flows,2,5,5,2,thin rumor signal,1,Event-driven volatility without enough evidence quality.
MKT-009,Workflow Software Midcap Index,Technology,Renewal strength and operations-driven budget resilience,5,3,2,4,confirmed multi-source trend,6,Multiple software surveys show spending resilience.
MKT-010,Freight Broker Basket,Industrials,Spot-rate stabilization and capacity exits,3,4,3,4,early divergence,3,Cycle may be bottoming but demand recovery is uneven.
MKT-011,Discount Retail Basket,Consumer,Trade-down demand and private-label mix improvement,4,2,2,5,confirmed demand signal,4,Consumer pressure may support traffic and margin mix.
MKT-012,Solar Equipment Basket,Energy,Rates sensitivity and inventory digestion,2,5,4,2,headline-driven volatility,2,Setup needs rate clarity and cleaner inventory data.
MKT-013,Restaurant Franchise Basket,Consumer,Commodity relief and traffic normalization,4,2,3,3,confirmed multi-source trend,4,Input cost relief helps but labor pressure remains.
MKT-014,Industrial Automation Suppliers,Industrials,Factory modernization capex remains resilient,4,3,2,4,confirmed demand signal,5,Backlog commentary remains healthier than broad PMI.
MKT-015,Ad Tech Basket,Communication Services,Brand spend recovery into product cycle,3,4,3,3,early divergence,3,Improving spend signal but privacy/regulatory risk persists.
MKT-016,Medical Device Basket,Healthcare,Procedure volume recovery after staffing normalization,4,2,2,4,confirmed multi-source trend,4,Hospital utilization and procedure commentary improved.
MKT-017,Discount Retail Basket,Consumer,Promotional efficiency and traffic share gains,5,2,2,4,confirmed multi-source trend,5,Multiple signals point to resilient low-ticket demand.
MKT-018,Semiconductor Equipment Basket,Technology,Memory capex trough and advanced-node demand,4,4,3,4,confirmed demand signal,4,Cycle recovery likely but timing is sensitive.
MKT-019,Home Improvement Basket,Consumer,Housing turnover stabilization,3,3,3,2,early divergence,3,Better setup needs confirmation from transaction activity.
MKT-020,Managed IT Services Providers,Technology,Midmarket systems-refresh deadlines creating urgency,4,3,2,5,confirmed multi-source trend,4,Implementation calendar gives timing support.
MKT-021,Airline Basket,Industrials,Fuel volatility and capacity discipline,3,5,4,3,headline-driven volatility,3,Demand is decent but fuel risk can swamp thesis.
MKT-022,Education Software Basket,Technology,District budget releases and renewal season,3,2,2,4,early divergence,2,Timing is attractive but more source confirmation needed.
MKT-023,Pharmacy Services Basket,Healthcare,Policy pressure and reimbursement uncertainty,2,4,5,2,thin rumor signal,2,Downside risk dominates current evidence.
MKT-024,Water Infrastructure Suppliers,Industrials,Municipal funding and replacement-cycle urgency,4,2,2,5,confirmed demand signal,4,Funding visibility and aging assets support demand.
